iter	Passed	Remaining
0	3	3212
1	6	3161
2	9	3121
3	12	3096
4	15	3061
5	18	3026
6	21	2989
7	23	2958
8	27	3038
9	33	3361
10	38	3422
11	42	3484
12	47	3574
13	51	3598
14	55	3640
15	63	3928
16	70	4096
17	75	4116
18	78	4053
19	81	4003
20	85	3964
21	88	3918
22	91	3880
23	95	3873
24	99	3889
25	105	3940
26	108	3915
27	111	3878
28	114	3846
29	117	3801
30	120	3755
31	122	3714
32	125	3672
33	128	3637
34	130	3606
35	133	3573
36	136	3549
37	139	3520
38	141	3492
39	144	3465
40	147	3443
41	150	3422
42	153	3406
43	155	3386
44	158	3367
45	161	3341
46	163	3324
47	166	3301
48	168	3279
49	171	3264
50	174	3244
51	176	3226
52	179	3212
53	182	3192
54	184	3177
55	188	3169
56	191	3161
57	194	3152
58	197	3146
59	200	3136
60	203	3128
61	206	3124
62	209	3116
63	212	3107
64	215	3097
65	218	3087
66	220	3072
67	223	3057
68	225	3048
69	228	3037
70	231	3028
71	234	3016
72	236	3004
73	239	2994
74	241	2981
75	244	2973
76	247	2961
77	249	2951
78	252	2943
79	255	2932
80	257	2925
81	260	2919
82	263	2910
83	266	2903
84	268	2893
85	271	2886
86	274	2879
87	276	2870
88	279	2864
89	282	2857
90	285	2856
91	288	2850
92	291	2842
93	294	2836
94	296	2826
95	299	2820
96	302	2815
97	305	2809
98	308	2805
99	311	2801
100	314	2796
101	316	2789
102	319	2782
103	322	2774
104	324	2766
105	327	2760
106	329	2753
107	332	2746
108	335	2739
109	337	2731
110	340	2725
111	343	2720
112	345	2712
113	348	2707
114	350	2699
115	353	2693
116	356	2688
117	358	2682
118	361	2676
119	364	2669
120	366	2664
121	369	2658
122	371	2651
123	374	2646
124	377	2640
125	379	2634
126	382	2630
127	385	2624
128	387	2619
129	390	2615
130	393	2610
131	396	2605
132	398	2600
133	401	2594
134	404	2589
135	406	2585
136	409	2581
137	412	2575
138	415	2571
139	417	2565
140	420	2560
141	422	2555
142	425	2549
143	427	2544
144	430	2539
145	433	2533
146	435	2529
147	438	2524
148	441	2519
149	444	2518
150	446	2512
151	450	2510
152	452	2507
153	455	2503
154	458	2501
155	462	2500
156	464	2496
157	467	2493
158	470	2491
159	473	2488
160	476	2484
161	479	2481
162	482	2478
163	485	2475
164	489	2474
165	492	2472
166	494	2468
167	498	2468
168	501	2465
169	504	2464
170	508	2463
171	511	2462
172	514	2460
173	517	2457
174	520	2455
175	523	2451
176	526	2449
177	529	2446
178	532	2443
179	535	2441
180	538	2437
181	542	2436
182	544	2432
183	547	2429
184	550	2427
185	554	2424
186	557	2422
187	560	2419
188	563	2417
189	566	2414
190	570	2414
191	572	2410
192	576	2408
193	579	2405
194	582	2403
195	585	2402
196	588	2399
197	592	2398
198	595	2395
199	598	2392
200	601	2391
201	605	2392
202	608	2389
203	612	2388
204	615	2385
205	617	2381
206	621	2379
207	624	2376
208	627	2374
209	630	2371
210	633	2369
211	636	2366
212	639	2364
213	642	2361
214	645	2358
215	649	2355
216	652	2352
217	655	2350
218	658	2347
219	661	2344
220	664	2340
221	667	2338
222	670	2336
223	673	2333
224	676	2330
225	679	2328
226	682	2324
227	686	2323
228	689	2319
229	692	2317
230	695	2314
231	698	2312
232	701	2310
233	704	2307
234	708	2305
235	711	2302
236	714	2299
237	717	2296
238	720	2294
239	723	2291
240	726	2288
241	729	2285
242	732	2282
243	735	2280
244	738	2277
245	742	2275
246	745	2271
247	748	2269
248	751	2266
249	754	2263
250	757	2260
251	760	2257
252	763	2254
253	766	2251
254	769	2248
255	772	2246
256	776	2243
257	779	2240
258	782	2238
259	785	2234
260	788	2231
261	791	2228
262	794	2226
263	798	2225
264	802	2224
265	805	2221
266	808	2219
267	811	2217
268	814	2213
269	817	2211
270	821	2208
271	824	2205
272	827	2202
273	830	2200
274	833	2197
275	836	2194
276	839	2191
277	843	2190
278	846	2187
279	849	2185
280	852	2181
281	855	2179
282	858	2176
283	862	2173
284	865	2170
285	868	2167
286	871	2164
287	874	2161
288	877	2158
289	880	2155
290	883	2152
291	886	2150
292	889	2147
293	892	2143
294	895	2141
295	900	2140
296	903	2138
297	906	2134
298	909	2132
299	912	2129
300	916	2127
301	918	2123
302	922	2121
303	925	2118
304	928	2116
305	931	2113
306	935	2110
307	937	2107
308	941	2105
309	944	2102
310	947	2099
311	950	2096
312	953	2093
313	957	2091
314	960	2087
315	963	2084
316	966	2081
317	969	2079
318	972	2076
319	976	2076
320	981	2075
321	985	2074
322	988	2072
323	992	2069
324	995	2067
